Statistical profiling result from isolate-000002085CFFA3A0-v8.log, (19061 ticks, 297 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
     14    0.1%    0.3%  Stub: StringAddStub {1}
     14    0.1%    0.3%  Stub: CEntryStub
     14    0.1%    0.3%  Stub: ArraySingleArgumentConstructorStub
     14    0.1%    0.3%  StoreIC: A store IC from the snapshot {1}
     14    0.1%    0.3%  LazyCompile: *wetag C:\Users\ben\Documents\GitHub\busyapi\node_modules\express\lib\utils.js:52:31
     14    0.1%    0.3%  LazyCompile: *parserOnBody _http_common.js:127:22
     14    0.1%    0.3%  LazyCompile: *logRequest C:\Users\ben\Documents\GitHub\busyapi\node_modules\morgan\index.js:116:24
     14    0.1%    0.3%  LazyCompile: *jsonParser C:\Users\ben\Documents\GitHub\busyapi\node_modules\body-parser\lib\types\json.js:91:30
     14    0.1%    0.3%  LazyCompile: *checkInvalidHeaderChar _http_common.js:331:32
     14    0.1%    0.3%  KeyedStoreIC: A keyed store IC from the snapshot
     14    0.1%    0.3%  Builtin: ClassOf
     13    0.1%    0.3%  LazyCompile: *writeHead C:\Users\ben\Documents\GitHub\busyapi\node_modules\on-headers\index.js:39:28
     12    0.1%    0.3%  Stub: CallApiCallbackStub
     12    0.1%    0.3%  RegExp: ^(?:Connection|Transfer-Encoding|Content-Length|Date|Expect|Trailer|Upgrade)$
     12    0.1%    0.3%  LazyCompile: *insert timers.js:158:16
     12    0.1%    0.3%  KeyedLoadIC: A keyed load IC from the snapshot {1}
     12    0.1%    0.3%  Builtin: Call_ReceiverIsNotNullOrUndefined
     11    0.1%    0.3%  Stub: CallICStub
     11    0.1%    0.3%  RegExp: ^[!#$%&'*+.^_`|~0-9A-Za-z-]+$
     11    0.1%    0.3%  Function: ~onEofChunk _stream_readable.js:480:20
     11    0.1%    0.3%  Builtin: ToString
     11    0.1%    0.3%  Builtin: StringIndexOf
     10    0.1%    0.2%  LazyCompile: *trim_prefix C:\Users\ben\Documents\GitHub\busyapi\node_modules\express\lib\router\index.js:284:23
     10    0.1%    0.2%  LazyCompile: *resume _stream_readable.js:812:16
     10    0.1%    0.2%  LazyCompile: *app C:\Users\ben\Documents\GitHub\busyapi\node_modules\express\lib\express.js:37:21
     10    0.1%    0.2%  Builtin: StringConstructor
     10    0.1%    0.2%  Builtin: StrictEqual
      9    0.0%    0.2%  Stub: RecordWriteStub {2}
      9    0.0%    0.2%  Stub: CallApiGetterStub
      9    0.0%    0.2%  LazyCompile: *exports.unenroll timers.js:373:45
      9    0.0%    0.2%  LazyCompile: *emitNone events.js:104:18
      9    0.0%    0.2%  LazyCompile: *checkIsHttpToken _http_common.js:281:26
      9    0.0%    0.2%  LazyCompile: *Socket._getpeername net.js:637:41
      9    0.0%    0.2%  LazyCompile: *<anonymous> :1:10
      9    0.0%    0.2%  Builtin: StringCharAt
      9    0.0%    0.2%  Builtin: RegExpReplace
      9    0.0%    0.2%  Builtin: LoadICProtoArray
      9    0.0%    0.2%  Builtin: JSEntryTrampoline
      9    0.0%    0.2%  Builtin: GlobalIsNaN
      9    0.0%    0.2%  Builtin: FastCloneRegExp
      8    0.0%    0.2%  LazyCompile: *writeHead _http_server.js:185:19
      8    0.0%    0.2%  LazyCompile: *query C:\Users\ben\Documents\GitHub\busyapi\node_modules\express\lib\middleware\query.js:38:24
      8    0.0%    0.2%  LazyCompile: *pushValueToArray bootstrap_node.js:245:30
      8    0.0%    0.2%  LazyCompile: *fastparse C:\Users\ben\Documents\GitHub\busyapi\node_modules\parseurl\index.js:95:20
      8    0.0%    0.2%  LazyCompile: *cookieParser C:\Users\ben\Documents\GitHub\busyapi\node_modules\cookie-parser\index.js:40:31
      8    0.0%    0.2%  LazyCompile: *append internal/linkedlist.js:29:16
      8    0.0%    0.2%  LazyCompile: *app.(anonymous function) C:\Users\ben\Documents\GitHub\busyapi\node_modules\express\lib\application.js:472:25
