Statistical profiling result from isolate-000002085CFFA3A0-v8.log, (19061 ticks, 297 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.0%    0.0%  Function: ~createListener C:\Users\ben\Documents\GitHub\busyapi\node_modules\on-finished\index.js:160:24
      1    0.0%    0.0%  Function: ~cookieParser C:\Users\ben\Documents\GitHub\busyapi\node_modules\cookie-parser\index.js:40:31
      1    0.0%    0.0%  Function: ~clearBuffer _stream_writable.js:469:21
      1    0.0%    0.0%  Function: ~chunkInvalid _stream_readable.js:279:22
      1    0.0%    0.0%  Function: ~checkType C:\Users\ben\Documents\GitHub\busyapi\node_modules\body-parser\lib\types\json.js:172:29
      1    0.0%    0.0%  Function: ~checkInvalidHeaderChar _http_common.js:331:32
      1    0.0%    0.0%  Function: ~callback C:\Users\ben\Documents\GitHub\busyapi\node_modules\ee-first\index.js:53:20
      1    0.0%    0.0%  Function: ~arrayClone events.js:509:20
      1    0.0%    0.0%  Function: ~allocate buffer.js:281:18
      1    0.0%    0.0%  Function: ~afterWrite net.js:855:20
      1    0.0%    0.0%  Function: ~adjustOffset buffer.js:950:22
      1    0.0%    0.0%  Function: ~_send _http_outgoing.js:216:49
      1    0.0%    0.0%  Function: ~_flushOutput _http_outgoing.js:834:63
      1    0.0%    0.0%  Function: ~_finish _http_outgoing.js:791:53
      1    0.0%    0.0%  Function: ~Writable.cork _stream_writable.js:296:35
      1    0.0%    0.0%  Function: ~Socket.setTimeout net.js:378:39
      1    0.0%    0.0%  Function: ~Socket._writeGeneric net.js:708:42
      1    0.0%    0.0%  Function: ~ReadableState _stream_readable.js:58:23
      1    0.0%    0.0%  Function: ~ContentType C:\Users\ben\Documents\GitHub\busyapi\node_modules\content-type\index.js:219:22
      1    0.0%    0.0%  Function: ~Buffer.from buffer.js:175:23
      1    0.0%    0.0%  Function: ~<anonymous> C:\Users\ben\Documents\GitHub\busyapi\node_modules\express\lib\router\index.js:612:18
      1    0.0%    0.0%  Function: ~<anonymous> C:\Users\ben\Documents\GitHub\busyapi\node_modules\express\lib\request.js:448:36
      1    0.0%    0.0%  Function: ~<anonymous> :1:10
      1    0.0%    0.0%  Function: ~$getMaxListeners events.js:89:26
      1    0.0%    0.0%  Builtin: Typeof
      1    0.0%    0.0%  Builtin: StringPrototypeCharCodeAt
      1    0.0%    0.0%  Builtin: JsonStringify
      1    0.0%    0.0%  Builtin: InterpreterPushArgsThenCall
      1    0.0%    0.0%  Builtin: FunctionPrototypeHasInstance
      1    0.0%    0.0%  Builtin: CallVarargs
      1    0.0%    0.0%  Builtin: CallForwardVarargs

 [C++]:
   ticks  total  nonlib   name

 [Summary]:
   ticks  total  nonlib   name
   3732   19.6%   92.6%  JavaScript
      0    0.0%    0.0%  C++
    194    1.0%    4.8%  GC
  15032   78.9%          Shared libraries
    297    1.6%          Unaccounted

 [C++ entry points]:
   ticks    cpp   total   name

 [Bottom up (heavy) profile]:
  Note: percentage shows a share of a particular caller in the total
  amount of its parent calls.
  Callers occupying less than 1.0% are not shown.

   ticks parent  name
  10833   56.8%  C:\WINDOWS\SYSTEM32\ntdll.dll
   5230   48.3%    LazyCompile: *Socket._writeGeneric net.js:708:42
   3628   69.4%      LazyCompile: *doWrite _stream_writable.js:379:17
   3628  100.0%        LazyCompile: *logRequest C:\Users\ben\Documents\GitHub\busyapi\node_modules\morgan\index.js:116:24
   3628  100.0%          LazyCompile: *listener C:\Users\ben\Documents\GitHub\busyapi\node_modules\on-finished\index.js:161:20
   3628  100.0%            LazyCompile: *onFinish C:\Users\ben\Documents\GitHub\busyapi\node_modules\on-finished\index.js:95:20
    928   17.7%      LazyCompile: *clearBuffer _stream_writable.js:469:21
    928  100.0%        LazyCompile: *end _http_outgoing.js:726:45
    928  100.0%          LazyCompile: *send C:\Users\ben\Documents\GitHub\busyapi\node_modules\express\lib\response.js:100:25
    905   97.5%            LazyCompile: *<anonymous> C:\Users\ben\Documents\GitHub\busyapi\routes\api\usages.js:2:37
     12    1.3%            Function: ~json C:\Users\ben\Documents\GitHub\busyapi\node_modules\express\lib\response.js:223:25
     11    1.2%            LazyCompile: *json C:\Users\ben\Documents\GitHub\busyapi\node_modules\express\lib\response.js:223:25
    449    8.6%      LazyCompile: *Writable.write _stream_writable.js:264:36
    360   80.2%        LazyCompile: *Socket.write net.js:699:34
    360  100.0%          Function: ~logRequest C:\Users\ben\Documents\GitHub\busyapi\node_modules\morgan\index.js:116:24
    195   54.2%            Function: ~listener C:\Users\ben\Documents\GitHub\busyapi\node_modules\on-finished\index.js:161:20
    165   45.8%            LazyCompile: *listener C:\Users\ben\Documents\GitHub\busyapi\node_modules\on-finished\index.js:161:20
     89   19.8%        Function: ~Socket.write net.js:699:34
     89  100.0%          Function: ~logRequest C:\Users\ben\Documents\GitHub\busyapi\node_modules\morgan\index.js:116:24
     46   51.7%            Function: ~listener C:\Users\ben\Documents\GitHub\busyapi\node_modules\on-finished\index.js:161:20
     43   48.3%            LazyCompile: *listener C:\Users\ben\Documents\GitHub\busyapi\node_modules\on-finished\index.js:161:20
    164    3.1%      Function: ~Socket._write net.js:785:35
    164  100.0%        Function: ~doWrite _stream_writable.js:379:17
    128   78.0%          LazyCompile: *logRequest C:\Users\ben\Documents\GitHub\busyapi\node_modules\morgan\index.js:116:24
    128  100.0%            LazyCompile: *listener C:\Users\ben\Documents\GitHub\busyapi\node_modules\on-finished\index.js:161:20
     36   22.0%          Function: ~writeOrBuffer _stream_writable.js:339:23
     36  100.0%            Function: ~Writable.write _stream_writable.js:264:36
    857    7.9%    C:\Program Files\nodejs\node.exe
    723   84.4%      LazyCompile: *recordStartTime C:\Users\ben\Documents\GitHub\busyapi\node_modules\morgan\index.js:484:25
    425   58.8%        LazyCompile: *logger C:\Users\ben\Documents\GitHub\busyapi\node_modules\morgan\index.js:103:25
    425  100.0%          LazyCompile: *trim_prefix C:\Users\ben\Documents\GitHub\busyapi\node_modules\express\lib\router\index.js:284:23
    420   98.8%            LazyCompile: *<anonymous> C:\Users\ben\Documents\GitHub\busyapi\node_modules\express\lib\router\index.js:271:64
      5    1.2%            Function: ~<anonymous> C:\Users\ben\Documents\GitHub\busyapi\node_modules\express\lib\router\index.js:271:64
    286   39.6%        LazyCompile: *writeHead C:\Users\ben\Documents\GitHub\busyapi\node_modules\on-headers\index.js:39:28
    284   99.3%          LazyCompile: *_implicitHeader _http_server.js:180:68
    284  100.0%            LazyCompile: *end _http_outgoing.js:726:45
     77    9.0%      Function: ~splitType C:\Users\ben\Documents\GitHub\busyapi\node_modules\media-typer\index.js:245:19
     77  100.0%        Function: ~parse C:\Users\ben\Documents\GitHub\busyapi\node_modules\media-typer\index.js:139:15
     48   62.3%          LazyCompile: *jsonParser C:\Users\ben\Documents\GitHub\busyapi\node_modules\body-parser\lib\types\json.js:91:30
     48  100.0%            LazyCompile: *trim_prefix C:\Users\ben\Documents\GitHub\busyapi\node_modules\express\lib\router\index.js:284:23
     25   32.5%          LazyCompile: *urlencodedParser C:\Users\ben\Documents\GitHub\busyapi\node_modules\body-parser\lib\types\urlencoded.js:79:36
     25  100.0%            LazyCompile: *trim_prefix C:\Users\ben\Documents\GitHub\busyapi\node_modules\express\lib\router\index.js:284:23
      4    5.2%          Function: ~normalizeType C:\Users\ben\Documents\GitHub\busyapi\node_modules\type-is\index.js:237:24
      4  100.0%            Function: ~tryNormalizeType C:\Users\ben\Documents\GitHub\busyapi\node_modules\type-is\index.js:256:27
     19    2.2%      LazyCompile: *<anonymous> :1:10
     19  100.0%        LazyCompile: *logRequest C:\Users\ben\Documents\GitHub\busyapi\node_modules\morgan\index.js:116:24
     19  100.0%          LazyCompile: *listener C:\Users\ben\Documents\GitHub\busyapi\node_modules\on-finished\index.js:161:20
     19  100.0%            LazyCompile: *onFinish C:\Users\ben\Documents\GitHub\busyapi\node_modules\on-finished\index.js:95:20
     16    1.9%      Function: ~recordStartTime C:\Users\ben\Documents\GitHub\busyapi\node_modules\morgan\index.js:484:25
      9   56.3%        Function: ~logger C:\Users\ben\Documents\GitHub\busyapi\node_modules\morgan\index.js:103:25
      7   77.8%          LazyCompile: *trim_prefix C:\Users\ben\Documents\GitHub\busyapi\node_modules\express\lib\router\index.js:284:23
      6   85.7%            LazyCompile: *<anonymous> C:\Users\ben\Documents\GitHub\busyapi\node_modules\express\lib\router\index.js:271:64
      1   14.3%            Function: ~<anonymous> C:\Users\ben\Documents\GitHub\busyapi\node_modules\express\lib\router\index.js:271:64
      2   22.2%          Function: ~handle C:\Users\ben\Documents\GitHub\busyapi\node_modules\express\lib\router\layer.js:86:49
      2  100.0%            Function: ~trim_prefix C:\Users\ben\Documents\GitHub\busyapi\node_modules\express\lib\router\index.js:284:23
      7   43.8%        Function: ~writeHead C:\Users\ben\Documents\GitHub\busyapi\node_modules\on-headers\index.js:39:28
      7  100.0%          Function: ~_implicitHeader _http_server.js:180:68
      7  100.0%            Function: ~write_ _http_outgoing.js:623:16

   4014   21.1%  C:\Program Files\nodejs\node.exe
   2198   54.8%    C:\Program Files\nodejs\node.exe
    505   23.0%      Function: ~splitType C:\Users\ben\Documents\GitHub\busyapi\node_modules\media-typer\index.js:245:19
    494   97.8%        Function: ~parse C:\Users\ben\Documents\GitHub\busyapi\node_modules\media-typer\index.js:139:15
    316   64.0%          LazyCompile: *jsonParser C:\Users\ben\Documents\GitHub\busyapi\node_modules\body-parser\lib\types\json.js:91:30
    316  100.0%            LazyCompile: *trim_prefix C:\Users\ben\Documents\GitHub\busyapi\node_modules\express\lib\router\index.js:284:23
    164   33.2%          LazyCompile: *urlencodedParser C:\Users\ben\Documents\GitHub\busyapi\node_modules\body-parser\lib\types\urlencoded.js:79:36
    164  100.0%            LazyCompile: *trim_prefix C:\Users\ben\Documents\GitHub\busyapi\node_modules\express\lib\router\index.js:284:23
     14    2.8%          Function: ~normalizeType C:\Users\ben\Documents\GitHub\busyapi\node_modules\type-is\index.js:237:24
     14  100.0%            Function: ~tryNormalizeType C:\Users\ben\Documents\GitHub\busyapi\node_modules\type-is\index.js:256:27
     11    2.2%        LazyCompile: *logRequest C:\Users\ben\Documents\GitHub\busyapi\node_modules\morgan\index.js:116:24
     11  100.0%          Function: ~jsonParser C:\Users\ben\Documents\GitHub\busyapi\node_modules\body-parser\lib\types\json.js:91:30
     11  100.0%            LazyCompile: *trim_prefix C:\Users\ben\Documents\GitHub\busyapi\node_modules\express\lib\router\index.js:284:23
    232   10.6%      LazyCompile: *recordStartTime C:\Users\ben\Documents\GitHub\busyapi\node_modules\morgan\index.js:484:25
    123   53.0%        LazyCompile: *logger C:\Users\ben\Documents\GitHub\busyapi\node_modules\morgan\index.js:103:25
    123  100.0%          LazyCompile: *trim_prefix C:\Users\ben\Documents\GitHub\busyapi\node_modules\express\lib\router\index.js:284:23
    123  100.0%            LazyCompile: *<anonymous> C:\Users\ben\Documents\GitHub\busyapi\node_modules\express\lib\router\index.js:271:64
    107   46.1%        LazyCompile: *writeHead C:\Users\ben\Documents\GitHub\busyapi\node_modules\on-headers\index.js:39:28
    105   98.1%          LazyCompile: *_implicitHeader _http_server.js:180:68
    105  100.0%            LazyCompile: *end _http_outgoing.js:726:45
      2    1.9%          Function: ~_implicitHeader _http_server.js:180:68
      2  100.0%            LazyCompile: *end _http_outgoing.js:726:45
    144    6.6%      LazyCompile: *wetag C:\Users\ben\Documents\GitHub\busyapi\node_modules\express\lib\utils.js:52:31
    144  100.0%        LazyCompile: *send C:\Users\ben\Documents\GitHub\busyapi\node_modules\express\lib\response.js:100:25
    144  100.0%          LazyCompile: *<anonymous> C:\Users\ben\Documents\GitHub\busyapi\routes\api\usages.js:2:37
    142   98.6%            LazyCompile: *next C:\Users\ben\Documents\GitHub\busyapi\node_modules\express\lib\router\route.js:114:16
      2    1.4%            LazyCompile: *handle C:\Users\ben\Documents\GitHub\busyapi\node_modules\express\lib\router\layer.js:86:49
    118    5.4%      LazyCompile: *expressInit C:\Users\ben\Documents\GitHub\busyapi\node_modules\express\lib\middleware\init.js:22:30
    118  100.0%        LazyCompile: *trim_prefix C:\Users\ben\Documents\GitHub\busyapi\node_modules\express\lib\router\index.js:284:23
    118  100.0%          LazyCompile: *<anonymous> C:\Users\ben\Documents\GitHub\busyapi\node_modules\express\lib\router\index.js:271:64
    118  100.0%            LazyCompile: *next C:\Users\ben\Documents\GitHub\busyapi\node_modules\express\lib\router\index.js:178:16
    101    4.6%      LazyCompile: *stringify C:\Users\ben\Documents\GitHub\busyapi\node_modules\express\lib\response.js:1059:19
     97   96.0%        LazyCompile: *<anonymous> C:\Users\ben\Documents\GitHub\busyapi\routes\api\usages.js:2:37
     88   90.7%          LazyCompile: *next C:\Users\ben\Documents\GitHub\busyapi\node_modules\express\lib\router\route.js:114:16
     88  100.0%            LazyCompile: *dispatch C:\Users\ben\Documents\GitHub\busyapi\node_modules\express\lib\router\route.js:98:45
      9    9.3%          LazyCompile: *handle C:\Users\ben\Documents\GitHub\busyapi\node_modules\express\lib\router\layer.js:86:49
      9  100.0%            Function: ~next C:\Users\ben\Documents\GitHub\busyapi\node_modules\express\lib\router\route.js:114:16
      2    2.0%        LazyCompile: *json C:\Users\ben\Documents\GitHub\busyapi\node_modules\express\lib\response.js:223:25
      2  100.0%          Function: ~<anonymous> C:\Users\ben\Documents\GitHub\busyapi\routes\api\usages.js:2:37
      2  100.0%            LazyCompile: *handle C:\Users\ben\Documents\GitHub\busyapi\node_modules\express\lib\router\layer.js:86:49
      2    2.0%        Function: ~json C:\Users\ben\Documents\GitHub\busyapi\node_modules\express\lib\response.js:223:25
      2  100.0%          Function: ~<anonymous> C:\Users\ben\Documents\GitHub\busyapi\routes\api\usages.js:2:37
      2  100.0%            Function: ~handle C:\Users\ben\Documents\GitHub\busyapi\node_modules\express\lib\router\layer.js:86:49
     75    3.4%      LazyCompile: *parserOnHeadersComplete _http_common.js:62:33
     69    3.1%      LazyCompile: *Socket._writeGeneric net.js:708:42
     40   58.0%        LazyCompile: *doWrite _stream_writable.js:379:17
     40  100.0%          LazyCompile: *logRequest C:\Users\ben\Documents\GitHub\busyapi\node_modules\morgan\index.js:116:24
     40  100.0%            LazyCompile: *listener C:\Users\ben\Documents\GitHub\busyapi\node_modules\on-finished\index.js:161:20
     24   34.8%        LazyCompile: *clearBuffer _stream_writable.js:469:21
     24  100.0%          LazyCompile: *end _http_outgoing.js:726:45
     24  100.0%            LazyCompile: *send C:\Users\ben\Documents\GitHub\busyapi\node_modules\express\lib\response.js:100:25
      4    5.8%        LazyCompile: *Writable.write _stream_writable.js:264:36
      4  100.0%          LazyCompile: *Socket.write net.js:699:34
      4  100.0%            Function: ~logRequest C:\Users\ben\Documents\GitHub\busyapi\node_modules\morgan\index.js:116:24
      1    1.4%        Function: ~Socket._write net.js:785:35
      1  100.0%          Function: ~doWrite _stream_writable.js:379:17
      1  100.0%            LazyCompile: *logRequest C:\Users\ben\Documents\GitHub\busyapi\node_modules\morgan\index.js:116:24
     65    3.0%      LazyCompile: *header C:\Users\ben\Documents\GitHub\busyapi\node_modules\express\lib\response.js:707:29
     64   98.5%        LazyCompile: *send C:\Users\ben\Documents\GitHub\busyapi\node_modules\express\lib\response.js:100:25
     62   96.9%          LazyCompile: *<anonymous> C:\Users\ben\Documents\GitHub\busyapi\routes\api\usages.js:2:37
     56   90.3%            LazyCompile: *next C:\Users\ben\Documents\GitHub\busyapi\node_modules\express\lib\router\route.js:114:16
      6    9.7%            LazyCompile: *handle C:\Users\ben\Documents\GitHub\busyapi\node_modules\express\lib\router\layer.js:86:49
      1    1.6%          LazyCompile: *json C:\Users\ben\Documents\GitHub\busyapi\node_modules\express\lib\response.js:223:25
      1  100.0%            Function: ~<anonymous> C:\Users\ben\Documents\GitHub\busyapi\routes\api\usages.js:2:37
      1    1.6%          Function: ~json C:\Users\ben\Documents\GitHub\busyapi\node_modules\express\lib\response.js:223:25
      1  100.0%            Function: ~<anonymous> C:\Users\ben\Documents\GitHub\busyapi\routes\api\usages.js:2:37
      1    1.5%        Function: ~json C:\Users\ben\Documents\GitHub\busyapi\node_modules\express\lib\response.js:223:25
      1  100.0%          Function: ~<anonymous> C:\Users\ben\Documents\GitHub\busyapi\routes\api\usages.js:2:37
      1  100.0%            Function: ~handle C:\Users\ben\Documents\GitHub\busyapi\node_modules\express\lib\router\layer.js:86:49
     60    2.7%      Function: ~createWriteReq net.js:789:24
     60  100.0%        Function: ~Socket._writeGeneric net.js:708:42
     58   96.7%          Function: ~Socket._write net.js:785:35
     58  100.0%            Function: ~doWrite _stream_writable.js:379:17
      2    3.3%          LazyCompile: *Writable.write _stream_writable.js:264:36
      2  100.0%            Function: ~Socket.write net.js:699:34
     57    2.6%      LazyCompile: *<anonymous> C:\Users\ben\Documents\GitHub\busyapi\routes\api\usages.js:2:37
     56   98.2%        LazyCompile: *next C:\Users\ben\Documents\GitHub\busyapi\node_modules\express\lib\router\route.js:114:16
     56  100.0%          LazyCompile: *dispatch C:\Users\ben\Documents\GitHub\busyapi\node_modules\express\lib\router\route.js:98:45
     56  100.0%            LazyCompile: *handle C:\Users\ben\Documents\GitHub\busyapi\node_modules\express\lib\router\layer.js:86:49
      1    1.8%        LazyCompile: *handle C:\Users\ben\Documents\GitHub\busyapi\node_modules\express\lib\router\layer.js:86:49
      1  100.0%          Function: ~next C:\Users\ben\Documents\GitHub\busyapi\node_modules\express\lib\router\route.js:114:16
      1  100.0%            LazyCompile: *dispatch C:\Users\ben\Documents\GitHub\busyapi\node_modules\express\lib\router\route.js:98:45
     55    2.5%      LazyCompile: *send C:\Users\ben\Documents\GitHub\busyapi\node_modules\express\lib\response.js:100:25
     51   92.7%        LazyCompile: *<anonymous> C:\Users\ben\Documents\GitHub\busyapi\routes\api\usages.js:2:37
     48   94.1%          LazyCompile: *next C:\Users\ben\Documents\GitHub\busyapi\node_modules\express\lib\router\route.js:114:16
     48  100.0%            LazyCompile: *dispatch C:\Users\ben\Documents\GitHub\busyapi\node_modules\express\lib\router\route.js:98:45
      3    5.9%          LazyCompile: *handle C:\Users\ben\Documents\GitHub\busyapi\node_modules\express\lib\router\layer.js:86:49
      3  100.0%            Function: ~next C:\Users\ben\Documents\GitHub\busyapi\node_modules\express\lib\router\route.js:114:16
      2    3.6%        LazyCompile: *json C:\Users\ben\Documents\GitHub\busyapi\node_modules\express\lib\response.js:223:25
      2  100.0%          Function: ~<anonymous> C:\Users\ben\Documents\GitHub\busyapi\routes\api\usages.js:2:37
      2  100.0%            LazyCompile: *handle C:\Users\ben\Documents\GitHub\busyapi\node_modules\express\lib\router\layer.js:86:49
      2    3.6%        Function: ~json C:\Users\ben\Documents\GitHub\busyapi\node_modules\express\lib\response.js:223:25
      2  100.0%          Function: ~<anonymous> C:\Users\ben\Documents\GitHub\busyapi\routes\api\usages.js:2:37
      1   50.0%            LazyCompile: *handle C:\Users\ben\Documents\GitHub\busyapi\node_modules\express\lib\router\layer.js:86:49
      1   50.0%            Function: ~handle C:\Users\ben\Documents\GitHub\busyapi\node_modules\express\lib\router\layer.js:86:49
     49    2.2%      Function: ~Buffer.write buffer.js:855:34
     43   87.8%        LazyCompile: *Buffer buffer.js:147:16
     43  100.0%          LazyCompile: *send C:\Users\ben\Documents\GitHub\busyapi\node_modules\express\lib\response.js:100:25
     43  100.0%            LazyCompile: *<anonymous> C:\Users\ben\Documents\GitHub\busyapi\routes\api\usages.js:2:37
      6   12.2%        LazyCompile: *fromString buffer.js:298:20
      6  100.0%          Function: ~Buffer.from buffer.js:175:23
      6  100.0%            Function: ~Buffer buffer.js:147:16
     47    2.1%      Builtin: RegExpPrototypeTest
     45   95.7%        LazyCompile: *header C:\Users\ben\Documents\GitHub\busyapi\node_modules\express\lib\response.js:707:29
     45  100.0%          LazyCompile: *send C:\Users\ben\Documents\GitHub\busyapi\node_modules\express\lib\response.js:100:25
     42   93.3%            LazyCompile: *<anonymous> C:\Users\ben\Documents\GitHub\busyapi\routes\api\usages.js:2:37
      2    4.4%            LazyCompile: *json C:\Users\ben\Documents\GitHub\busyapi\node_modules\express\lib\response.js:223:25
      1    2.2%            Function: ~json C:\Users\ben\Documents\GitHub\busyapi\node_modules\express\lib\response.js:223:25
      2    4.3%        Function: ~header C:\Users\ben\Documents\GitHub\busyapi\node_modules\express\lib\response.js:707:29
      2  100.0%          Function: ~send C:\Users\ben\Documents\GitHub\busyapi\node_modules\express\lib\response.js:100:25
      2  100.0%            Function: ~json C:\Users\ben\Documents\GitHub\busyapi\node_modules\express\lib\response.js:223:25
     44    2.0%      LazyCompile: *getip C:\Users\ben\Documents\GitHub\busyapi\node_modules\morgan\index.js:457:15
     44  100.0%        LazyCompile: *logger C:\Users\ben\Documents\GitHub\busyapi\node_modules\morgan\index.js:103:25
     44  100.0%          LazyCompile: *trim_prefix C:\Users\ben\Documents\GitHub\busyapi\node_modules\express\lib\router\index.js:284:23
     44  100.0%            LazyCompile: *<anonymous> C:\Users\ben\Documents\GitHub\busyapi\node_modules\express\lib\router\index.js:271:64
     41    1.9%      Builtin: ObjectKeys
     34   82.9%        LazyCompile: *setCharset C:\Users\ben\Documents\GitHub\busyapi\node_modules\express\lib\utils.js:262:41
     34  100.0%          LazyCompile: *send C:\Users\ben\Documents\GitHub\busyapi\node_modules\express\lib\response.js:100:25
     34  100.0%            LazyCompile: *<anonymous> C:\Users\ben\Documents\GitHub\busyapi\routes\api\usages.js:2:37
      5   12.2%        LazyCompile: *format C:\Users\ben\Documents\GitHub\busyapi\node_modules\content-type\index.js:65:17
      5  100.0%          Function: ~setCharset C:\Users\ben\Documents\GitHub\busyapi\node_modules\express\lib\utils.js:262:41
      5  100.0%            LazyCompile: *send C:\Users\ben\Documents\GitHub\busyapi\node_modules\express\lib\response.js:100:25
      1    2.4%        Function: ~populateMaps C:\Users\ben\Documents\GitHub\busyapi\node_modules\mime-types\index.js:154:23
      1  100.0%          Function: ~<anonymous> C:\Users\ben\Documents\GitHub\busyapi\node_modules\mime-types\index.js:1:11
      1  100.0%            Function: ~Module._compile module.js:600:37
      1    2.4%        Function: ~format C:\Users\ben\Documents\GitHub\busyapi\node_modules\content-type\index.js:65:17
      1  100.0%          Function: ~setCharset C:\Users\ben\Documents\GitHub\busyapi\node_modules\express\lib\utils.js:262:41
      1  100.0%            LazyCompile: *send C:\Users\ben\Documents\GitHub\busyapi\node_modules\express\lib\response.js:100:25
     41    1.9%      Builtin: NumberParseInt
     40   97.6%        LazyCompile: *Readable.read _stream_readable.js:365:35
     37   92.5%          LazyCompile: *resume_ _stream_readable.js:819:17
     37  100.0%            LazyCompile: *_tickCallback internal/process/next_tick.js:151:25
      3    7.5%          LazyCompile: *emitReadable _stream_readable.js:498:22
      3  100.0%            Function: ~onEofChunk _stream_readable.js:480:20
      1    2.4%        Function: ~Readable.read _stream_readable.js:365:35
      1  100.0%          Function: ~flow _stream_readable.js:843:14
      1  100.0%            Function: ~resume_ _stream_readable.js:819:17
     33    1.5%      LazyCompile: *<anonymous> :1:10
     31   93.9%        LazyCompile: *logRequest C:\Users\ben\Documents\GitHub\busyapi\node_modules\morgan\index.js:116:24
     31  100.0%          LazyCompile: *listener C:\Users\ben\Documents\GitHub\busyapi\node_modules\on-finished\index.js:161:20
     31  100.0%            LazyCompile: *onFinish C:\Users\ben\Documents\GitHub\busyapi\node_modules\on-finished\index.js:95:20
      2    6.1%        Function: ~developmentFormatLine C:\Users\ben\Documents\GitHub\busyapi\node_modules\morgan\index.js:183:52
      2  100.0%          Function: ~logRequest C:\Users\ben\Documents\GitHub\busyapi\node_modules\morgan\index.js:116:24
      2  100.0%            LazyCompile: *listener C:\Users\ben\Documents\GitHub\busyapi\node_modules\on-finished\index.js:161:20
     33    1.5%      Function: ~readPackage module.js:107:21
     33  100.0%        Function: ~tryPackage module.js:129:20
     33  100.0%          Function: ~Module._findPath module.js:176:28
     33  100.0%            Function: ~Module._resolveFilename module.js:508:35
     32    1.5%      LazyCompile: *parserOnIncoming _http_server.js:545:26
     32  100.0%        LazyCompile: *parserOnHeadersComplete _http_common.js:62:33
     29    1.3%      Function: ~byteLength buffer.js:475:20
     24   82.8%        LazyCompile: *Buffer buffer.js:147:16
     24  100.0%          LazyCompile: *send C:\Users\ben\Documents\GitHub\busyapi\node_modules\express\lib\response.js:100:25
     24  100.0%            LazyCompile: *<anonymous> C:\Users\ben\Documents\GitHub\busyapi\routes\api\usages.js:2:37
      4   13.8%        LazyCompile: *fromString buffer.js:298:20
      4  100.0%          Function: ~Buffer.from buffer.js:175:23
      4  100.0%            Function: ~Buffer buffer.js:147:16
      1    3.4%        Function: ~fromString buffer.js:298:20
      1  100.0%          Function: ~Buffer.from buffer.js:175:23
      1  100.0%            Function: ~Buffer buffer.js:147:16
     26    1.2%      LazyCompile: *_addListener events.js:233:22
     26  100.0%        LazyCompile: *logger C:\Users\ben\Documents\GitHub\busyapi\node_modules\morgan\index.js:103:25
     26  100.0%          LazyCompile: *trim_prefix C:\Users\ben\Documents\GitHub\busyapi\node_modules\express\lib\router\index.js:284:23
     26  100.0%            LazyCompile: *<anonymous> C:\Users\ben\Documents\GitHub\busyapi\node_modules\express\lib\router\index.js:271:64
     23    1.0%      LazyCompile: *_handles_method C:\Users\ben\Documents\GitHub\busyapi\node_modules\express\lib\router\route.js:58:59
     23  100.0%        LazyCompile: *next C:\Users\ben\Documents\GitHub\busyapi\node_modules\express\lib\router\index.js:178:16
     23  100.0%          LazyCompile: *<anonymous> C:\Users\ben\Documents\GitHub\busyapi\node_modules\express\lib\router\index.js:612:18
     23  100.0%            LazyCompile: *next C:\Users\ben\Documents\GitHub\busyapi\node_modules\express\lib\router\index.js:178:16
     22    1.0%      LazyCompile: *setCharset C:\Users\ben\Documents\GitHub\busyapi\node_modules\express\lib\utils.js:262:41
     22  100.0%        LazyCompile: *send C:\Users\ben\Documents\GitHub\busyapi\node_modules\express\lib\response.js:100:25
     22  100.0%          LazyCompile: *<anonymous> C:\Users\ben\Documents\GitHub\busyapi\routes\api\usages.js:2:37
     21   95.5%            LazyCompile: *next C:\Users\ben\Documents\GitHub\busyapi\node_modules\express\lib\router\route.js:114:16
      1    4.5%            LazyCompile: *handle C:\Users\ben\Documents\GitHub\busyapi\node_modules\express\lib\router\layer.js:86:49
    459   11.4%    LazyCompile: *Socket._writeGeneric net.js:708:42
    315   68.6%      LazyCompile: *clearBuffer _stream_writable.js:469:21
    315  100.0%        LazyCompile: *end _http_outgoing.js:726:45
    315  100.0%          LazyCompile: *send C:\Users\ben\Documents\GitHub\busyapi\node_modules\express\lib\response.js:100:25
    307   97.5%            LazyCompile: *<anonymous> C:\Users\ben\Documents\GitHub\busyapi\routes\api\usages.js:2:37
      5    1.6%            LazyCompile: *json C:\Users\ben\Documents\GitHub\busyapi\node_modules\express\lib\response.js:223:25
    121   26.4%      LazyCompile: *doWrite _stream_writable.js:379:17
    121  100.0%        LazyCompile: *logRequest C:\Users\ben\Documents\GitHub\busyapi\node_modules\morgan\index.js:116:24
    121  100.0%          LazyCompile: *listener C:\Users\ben\Documents\GitHub\busyapi\node_modules\on-finished\index.js:161:20
    121  100.0%            LazyCompile: *onFinish C:\Users\ben\Documents\GitHub\busyapi\node_modules\on-finished\index.js:95:20
     10    2.2%      LazyCompile: *Writable.write _stream_writable.js:264:36
      7   70.0%        LazyCompile: *Socket.write net.js:699:34
      7  100.0%          Function: ~logRequest C:\Users\ben\Documents\GitHub\busyapi\node_modules\morgan\index.js:116:24
      4   57.1%            LazyCompile: *listener C:\Users\ben\Documents\GitHub\busyapi\node_modules\on-finished\index.js:161:20
      3   42.9%            Function: ~listener C:\Users\ben\Documents\GitHub\busyapi\node_modules\on-finished\index.js:161:20
      3   30.0%        Function: ~Socket.write net.js:699:34
